timestamp,pm25_ug_m3,gas_ppm
2025-09-02 00:44:29,0.0,150.3
2025-09-02 00:44:31,0.0,151.21
2025-09-02 00:44:33,0.0,150.85
2025-09-02 00:44:35,0.0,151.21
2025-09-02 00:44:37,0.0,150.64
2025-09-02 00:44:39,0.0,151.37
2025-09-02 00:44:41,0.0,150.88
2025-09-02 00:44:43,0.0,150.8
2025-09-02 00:44:45,0.0,149.89
2025-09-02 00:44:47,0.0,147.53
2025-09-02 00:44:49,0.0,147.7
2025-09-02 00:44:51,0.0,145.58
2025-09-02 00:44:53,0.0,146.14
2025-09-02 00:44:55,0.0,145.85
2025-09-02 00:44:57,0.0,146.14
2025-09-02 00:44:59,0.0,146.17
2025-09-02 00:45:01,0.0,146.19
2025-09-02 00:45:03,0.0,145.79
2025-09-02 00:45:05,1.53,146.09
2025-09-02 00:45:07,1.53,145.71
2025-09-02 00:45:09,1.85,145.72
2025-09-02 00:45:11,1.85,146.25
2025-09-02 00:45:13,1.85,146.99
2025-09-02 00:45:15,1.85,146.74
2025-09-02 00:45:17,1.85,147.07
2025-09-02 00:45:19,1.85,147.12
2025-09-02 00:45:21,1.85,146.95
2025-09-02 00:45:23,1.85,147.34
2025-09-02 00:45:25,0.32,147.33
2025-09-02 00:45:27,0.32,148.83
2025-09-02 00:45:29,0.0,148.85
2025-09-02 00:45:31,0.0,148.22
2025-09-02 00:45:33,0.0,147.42
2025-09-02 00:45:35,0.0,148.46
2025-09-02 00:45:37,0.0,148.55
2025-09-02 00:45:39,0.0,148.2
2025-09-02 00:45:41,0.0,148.02
2025-09-02 00:45:43,0.0,147.25
2025-09-02 00:45:45,0.0,147.37
2025-09-02 00:45:47,0.0,148.54
2025-09-02 00:45:49,0.0,148.61
2025-09-02 00:45:51,0.0,149.09
2025-09-02 00:45:53,0.0,148.42
2025-09-02 00:45:55,0.32,148.84
2025-09-02 00:45:57,1.85,148.53
2025-09-02 00:45:59,2.18,148.61
2025-09-02 00:46:01,5.72,148.88
2025-09-02 00:46:03,5.72,148.78
2025-09-02 00:46:05,5.72,148.27
2025-09-02 00:46:07,5.72,148.19
2025-09-02 00:46:09,5.72,148.97
2025-09-02 00:46:11,5.72,148.64
2025-09-02 00:46:13,5.72,148.38
2025-09-02 00:46:15,5.4,148.16
2025-09-02 00:46:17,5.8,148.52
2025-09-02 00:46:19,5.48,150.0
2025-09-02 00:46:21,1.93,149.05
2025-09-02 00:46:23,1.93,148.7
2025-09-02 00:46:25,1.93,149.49
2025-09-02 00:46:27,1.93,149.59
2025-09-02 00:46:29,1.93,149.45
2025-09-02 00:46:31,1.93,148.5
2025-09-02 00:46:33,1.93,148.47
2025-09-02 00:46:35,1.93,148.24
2025-09-02 00:46:37,0.0,149.23
2025-09-02 00:46:39,0.0,148.95
2025-09-02 00:46:41,0.0,148.94
2025-09-02 00:46:43,0.0,148.93
2025-09-02 00:46:45,1.53,150.0
2025-09-02 00:46:47,4.27,150.0
2025-09-02 00:46:49,5.0,150.1
2025-09-02 00:46:51,5.0,149.96
2025-09-02 00:46:53,5.0,150.61
2025-09-02 00:46:55,5.0,150.59
2025-09-02 00:46:57,5.0,149.62
2025-09-02 00:46:59,5.0,149.9
2025-09-02 00:47:01,5.0,148.97
2025-09-02 00:47:03,5.0,148.95
2025-09-02 00:47:05,3.47,149.69
2025-09-02 00:47:07,0.73,150.94
2025-09-02 00:47:09,0.0,151.61
2025-09-02 00:47:11,1.13,152.47
2025-09-02 00:47:13,7.49,152.18
2025-09-02 00:47:15,10.23,151.1
2025-09-02 00:47:17,10.23,151.09
2025-09-02 00:47:19,10.23,151.73
2025-09-02 00:47:21,10.23,150.85
2025-09-02 00:47:23,10.23,150.35
2025-09-02 00:47:25,10.23,151.14
2025-09-02 00:47:27,10.23,153.67
2025-09-02 00:47:29,10.23,154.79
2025-09-02 00:47:31,9.11,155.79
2025-09-02 00:47:33,2.74,157.86
2025-09-02 00:47:35,0.0,160.57
2025-09-02 00:47:37,2.34,161.44
2025-09-02 00:47:39,2.34,160.45
2025-09-02 00:47:41,2.34,158.78
2025-09-02 00:47:43,2.34,157.45
2025-09-02 00:47:45,2.34,155.63
2025-09-02 00:47:47,2.34,155.04
2025-09-02 00:47:49,2.34,154.99
2025-09-02 00:47:51,2.34,154.09
2025-09-02 00:47:53,2.34,152.95
2025-09-02 00:47:55,2.66,152.46
2025-09-02 00:47:57,4.67,152.5
2025-09-02 00:47:59,5.8,151.36
2025-09-02 00:48:01,5.8,151.08
2025-09-02 00:48:03,5.8,150.54
2025-09-02 00:48:05,5.8,151.39
2025-09-02 00:48:07,5.8,151.97
2025-09-02 00:48:09,5.8,150.52
2025-09-02 00:48:11,5.8,150.51
2025-09-02 00:48:13,5.8,150.62
2025-09-02 00:48:15,5.48,149.96
2025-09-02 00:48:17,1.13,149.43
2025-09-02 00:48:19,5.16,150.18
2025-09-02 00:48:21,5.88,150.24
2025-09-02 00:48:23,5.88,149.66
2025-09-02 00:48:25,5.88,149.19
2025-09-02 00:48:27,5.88,149.03
2025-09-02 00:48:29,5.88,149.0
2025-09-02 00:48:31,5.88,149.19
2025-09-02 00:48:33,5.88,149.24
2025-09-02 00:48:35,5.88,148.85
2025-09-02 00:48:37,5.88,149.08
2025-09-02 00:48:39,0.73,148.83
2025-09-02 00:48:41,0.0,149.16
2025-09-02 00:48:43,0.0,147.05
2025-09-02 00:48:45,0.0,148.39
2025-09-02 00:48:47,0.0,149.13
2025-09-02 00:48:49,0.73,148.04
2025-09-02 00:48:51,3.47,148.11
2025-09-02 00:48:53,5.4,148.37
2025-09-02 00:48:55,7.74,147.95
2025-09-02 00:48:57,9.67,147.61
2025-09-02 00:48:59,10.4,147.34
2025-09-02 00:49:01,10.4,148.08
2025-09-02 00:49:03,10.4,146.99
2025-09-02 00:49:05,10.4,147.06
2025-09-02 00:49:07,10.4,147.11
2025-09-02 00:49:09,9.67,148.11
2025-09-02 00:49:11,6.93,147.85
2025-09-02 00:49:13,5.0,148.16
2025-09-02 00:49:15,2.66,146.25
2025-09-02 00:49:17,0.73,146.15
2025-09-02 00:49:19,0.0,146.49
2025-09-02 00:49:21,0.0,146.65
2025-09-02 00:49:23,0.0,146.78
2025-09-02 00:49:25,0.0,147.0
2025-09-02 00:49:27,0.0,146.85
2025-09-02 00:49:29,0.0,145.91
2025-09-02 00:49:31,3.55,144.44
2025-09-02 00:49:33,3.55,145.02
2025-09-02 00:49:35,3.55,145.79
2025-09-02 00:49:37,3.55,145.58
2025-09-02 00:49:39,3.55,147.54
